text,username,likes,comments,retweets,quotes,is-retweet,external-link,pictures,videos,gifs
Fried Chicken with Hot 🔥 Sauce Corn Muffin and Seasoned Fries 🍟  homecookingvsfastfood.com #homecooking #homecookingvsfastfood #food #fastfood #foodie #yum #myfood #foodpics,@homevsfastfood,125,2,33,1,True,,['https://pbs.twimg.com/media/GBRPAZvXcAATBXG.jpg'],[],[]
#Morel #mushrooms at center of #food #poisoning #outbreak ...   | #fungi | #publichealth | #safety | #toxins | #Illness | By @keelyinezlarson via @CBSNews https://www.cbsnews.com/news/morel-mushrooms-food-poisoning-outbreak-montana/,@MicrobesInfo,0,0,0,0,False,,[],[],[]
My Blog::  Obama Legacy Facing REVISIT ... Ianrmackintosh-blogsite.com #family #joy #cancer #china #ukraine #biden #hunter #trump #sealife #food #fun,@IanRMackintosh,1,0,0,0,False,,[],[],[]
Craving sushi but tired of expensive takeout? Look no further! Kellyloves Sushi Kit is here to revolutionize your culinary adventures. 🍣 🤩   https://boxnip.co.uk/sushi-kit-by-kelly-loves-a-fun-easy-way-to-make-delicious-sushi-at-home/ #sushi #food #kellyloves #sushidaily #blogdreamRT @BloggersHut #sushikit,@boxnipUK,0,0,0,0,False,,[],[],[]
"Potato Pancakes should not be a rare side dish, but planned leftovers for each time you make mashed potatoes! Serve family style and save half for these yummy treats! healthy-diet-habits.com/pota… #Potato #Potatoes #PotatoPancakes #SideDish #Leftovers #MashedPotatoes #Recipe #Food",@LifestyleSoln,0,0,0,0,False,,['https://pbs.twimg.com/media/GBVywFMWkAE5vLY.jpg'],[],[]
#oshkosh #oshkoshwi #wisconsin #oshkoshbar #barlife #onlyinoshkosh #downtownoshkosh #drinkwisconsibly #visitoshkosh #drinks #food #herdup #wisconsinherd #beer #sportsbar #loveoshkosh #oshkosharena #uwoshkosh #discoverwisconsin #viral #foxcitieswi #fyp #foryourpage,@winners_grill,1,0,0,0,False,,[],['https://video.twimg.com/ext_tw_video/1735419029920083968/pu/pl/SYpMqdeb5cDDq34c.m3u8?tag=12&container=fmp4'],[]
Do you love a Jaffa cake? Come along this Saturday to the Goat’s Gate Christmas market and treat yourself to a Jaffa cake brownie bite. #jaffacakes #orangmarmalade #darkchocolate #christmasmarket #christmastreats #brownies #browniebites #tastytreats #moreish #homebaking #food,@alwaystimefora,2,0,0,0,False,,"['https://pbs.twimg.com/media/GBVycoDXoAA0SCw.jpg', 'https://pbs.twimg.com/media/GBVycoCWEAA8-E-.jpg']",[],[]
↑主ポストもご覧ください😋  チーズを飲んでる感じがたまらない😆  #晩ごはん #クリームシチュー #飯テロ #food,@lanider,39,0,3,0,True,,['https://pbs.twimg.com/media/GBT2BhwbsAEp7Mh.jpg'],[],[]
[Homemade] Smoked Pastrami homecookingvsfastfood.com #homecooking #food #recipes #foodie #foodlover #cooking #homecookingvsfastfood,@homevsfastfood,52,1,7,0,True,,['https://pbs.twimg.com/media/GBU_SUhWUAAIn63.jpg'],[],[]
お弁当日記 今日は【 #おいなりさん弁当 🧸】  中身はひじきと枝豆！ 卵焼きが上手に出来て幸せです。  ○内容  ・おいなりさん ・卵焼き ・ポテトサラダ ・ブロッコリー ・トマト  #お弁当 #タッパー弁当 #弁当日記 #おいなりさん #foodie #obentou #food,@Ayyyyyyyyyyyyak,1,0,0,0,False,,['https://pbs.twimg.com/media/GBVx_p9akAAsBVU.jpg'],[],[]
Chocolate Chip Cookies homecookingvsfastfood.com #homecooking #homecookingvsfastfood #food #fastfood #foodie #yum #myfood #foodpics,@homevsfastfood,40,1,12,0,True,,['https://pbs.twimg.com/media/GBVT5tgWQAAMa9i.jpg'],[],[]
🍳🍹Easy Set Up for Afternoon Tea at Home  ▶︎▶︎ Watch full: https://www.ganjingworld.com/video/1f8jc060kr85tYZgdKhBG2Yns1vb1c?utm_source=NTDdigital&utm_medium=Twitter&utm_campaign=PaidAds-2023&utm_term=tw&utm_content=GJWExclusiveEngagement #GanJingWorld #GJW #food #foodie #foodlover #drinks #tea #afternoontea #recipe #tasty,@GanJingWorld,9198,246,706,20,True,,[],[],[]
Korean Barbecue!!! Itadakimasu!!! #koreanfood #やきにく #food,@Carolina_3254,5,0,0,0,False,,"['https://pbs.twimg.com/media/GBVxu6UaoAA5iGL.jpg', 'https://pbs.twimg.com/media/GBVxu6PasAAeW5h.jpg']",[],[]
Cheesy Mac and Cheese 🧀  homecookingvsfastfood.com #homecooking #homecookingvsfastfood #food #fastfood #foodie #yum #myfood #foodpics,@homevsfastfood,32,0,7,0,True,,['https://pbs.twimg.com/media/GBVh12xWgAAT-wA.jpg'],[],[]
#food #health #farm #farming,@MichaelPghPA,1,0,0,0,False,,[],[],[]
How long is it taking you to finish both 🤤?  #food #foodies #hungry #delicious #burgers,@HungryAI_App,21,7,6,0,True,,['https://pbs.twimg.com/media/GBVi3RXWMAAkJkQ.jpg'],[],[]
Tater Tots homecookingvsfastfood.com #homecooking #homecookingvsfastfood #food #fastfood #foodie #yum #myfood #foodpics,@homevsfastfood,272,4,50,1,True,,['https://pbs.twimg.com/media/GBRBNaIXUAAGxXI.jpg'],[],[]
"🍹Get a copy for yourself, family & friends. Tasty gift for any time of year. Lovely illustrations by @JaneCornwell10. Recipes by @GabrielConstans. #smoothie #drinks #health #recipes #food #recipe #drink #healthy Available worldwide @amazon. In US at: https://tinyurl.com/2bejdyvv",@GabrielConstans,84,0,127,0,True,,[],['https://video.twimg.com/ext_tw_video/1733542071569666048/pu/pl/Vqu-36Cva2HvlKh0.m3u8?tag=12&container=fmp4'],[]
"Limited tickets remaining at R150. Be sure to snatch yours and join us for an awesome day filled with nothing but good food, good vibes and good music  Secure your ticket by hitting the link - https://qkt.io/nnRT0M  No Door Sales!  #Market #food #Drinks #Vibes #Music",@Iam__tshepi,4,1,1,0,True,,['https://pbs.twimg.com/media/GBVv2B1WYAAjXmD.jpg'],[],[]
